Id,SalePrice
1461,110243.266
1462,159173.84
1463,168802.45
1464,182236.86
1465,189721.33
1466,174462.4
1467,170638.95
1468,164147.25
1469,210905.06
1470,100314.13
1471,184633.45
1472,79826.805
1473,77937.29
1474,141649.34
1475,92807.44
1476,334826.3
1477,257006.8
1478,297195.56
1479,291226.84
1480,364088.2
1481,300778.47
1482,221445.81
1483,186358.17
1484,181918.84
1485,195527.98
1486,206383.88
1487,289817.97
1488,238776.62
1489,207841.27
1490,230218.56
1491,207476.44
1492,102107.42
1493,197042.53
1494,281752.53
1495,275755.5
1496,230736.12
1497,178078.7
1498,158291.34
1499,165662.62
1500,154235.69
1501,176330.9
1502,146963.33
1503,268665.53
1504,243752.53
1505,230682.11
1506,201143.98
1507,234503.83
1508,196277.6
1509,160230.66
1510,151768.47
1511,145120.33
1512,172184.86
1513,123078.19
1514,171753.4
1515,188988.55
1516,141438.72
1517,172176.66
1518,133539.33
1519,210645.62
1520,132257.05
1521,122352.13
1522,183960.1
1523,96366.54
1524,90291.305
1525,101141.0
1526,91409.53
1527,101526.61
1528,127323.07
1529,146644.89
1530,200441.08
1531,143005.84
1532,108880.37
1533,171308.55
1534,115541.31
1535,150777.1
1536,103442.625
1537,68849.766
1538,168700.12
1539,195661.75
1540,134854.52
1541,135667.66
1542,138700.47
1543,187402.0
1544,91511.375
1545,104877.02
1546,145430.53
1547,136113.86
1548,125273.39
1549,110396.8
1550,141876.19
1551,115785.77
1552,154303.89
1553,158954.6
1554,103887.02
1555,180557.58
1556,109230.71
1557,88903.555
1558,76561.336
1559,108256.836
1560,145975.0
1561,131372.67
1562,134019.03
1563,98348.98
1564,154060.11
1565,129252.32
1566,251018.97
1567,56529.22
1568,230569.28
1569,114623.44
1570,126435.56
1571,101489.516
1572,132989.72
1573,226779.27
1574,110524.25
1575,223238.08
1576,232741.08
1577,194560.55
1578,134469.83
1579,142465.67
1580,190951.77
1581,158161.6
1582,138107.48
1583,282068.3
1584,239044.62
1585,154188.6
1586,37251.438
1587,68099.76
1588,140377.88
1589,76155.57
1590,123183.38
1591,90256.22
1592,110127.26
1593,124515.25
1594,134094.47
1595,129909.19
1596,230571.75
1597,181658.39
1598,193261.67
1599,184241.23
1600,178840.67
1601,37562.23
1602,103326.4
1603,69487.64
1604,260141.58
1605,240769.77
1606,150827.38
1607,165328.39
1608,241113.34
1609,210825.28
1610,158109.19
1611,157523.8
1612,185967.67
1613,165242.9
1614,100991.58
1615,67572.35
1616,54490.215
1617,58563.004
1618,95968.79
1619,142955.27
1620,180427.2
1621,130489.234
1622,142005.61
1623,263953.44
1624,221146.97
1625,98477.95
1626,183185.02
1627,174755.66
1628,263481.28
1629,172620.62
1630,273657.25
1631,203494.08
1632,220040.0
1633,172004.9
1634,192940.17
1635,180644.53
1636,160397.27
1637,197916.16
1638,203266.22
1639,184015.94
1640,216593.19
1641,176990.67
1642,251954.25
1643,239195.86
1644,230389.77
1645,214565.56
1646,166203.39
1647,155189.25
1648,126210.984
1649,134571.8
1650,104028.39
1651,106671.14
1652,91043.08
1653,94457.65
1654,148585.19
1655,119743.875
1656,132856.8
1657,149593.56
1658,148315.47
1659,94453.016
1660,149648.88
1661,355998.0
1662,318664.8
1663,330589.9
1664,376373.78
1665,294770.1
